trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
606,False,"{'a': 0.5, 'e': 0.0022871399059538754}",25,15,20.92619804194768,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
607,False,"{'a': 0.5, 'e': 0.0022642685068943367}",20,10,13.683970790523913,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
608,False,"{'a': 0.5, 'e': 0.002241625821825393}",20,16,9.279452771554604,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
609,False,"{'a': 0.5, 'e': 0.0022192095636071395}",30,10,35.24350344365898,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
610,False,"{'a': 0.5, 'e': 0.002197017467971068}",20,10,21.727276565160494,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
611,False,"{'a': 0.5, 'e': 0.002175047293291357}",25,7,32.464432456159265,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
612,False,"{'a': 0.5, 'e': 0.002153296820358444}",25,14,19.607268784641636,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
613,False,"{'a': 0.5, 'e': 0.0021317638521548593}",25,13,21.510558821990138,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
614,False,"{'a': 0.5, 'e': 0.0021104462136333105}",25,2,34.96981350078884,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
615,False,"{'a': 0.5, 'e': 0.0020893417514969773}",25,15,17.664784641189502,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
616,False,"{'a': 0.5, 'e': 0.0020684483339820075}",30,20,22.39281511810198,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
617,False,"{'a': 0.5, 'e': 0.0020477638506421875}",30,22,17.181258455258885,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
618,False,"{'a': 0.5, 'e': 0.0020272862121357657}",25,11,26.55141225328556,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
619,False,"{'a': 0.5, 'e': 0.002007013350014408}",25,0,42.36644520184764,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
620,False,"{'a': 0.5, 'e': 0.0019869432165142637}",20,16,7.487326082497062,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
621,False,"{'a': 0.5, 'e': 0.001967073784349121}",25,10,25.943051565571718,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
622,False,"{'a': 0.5, 'e': 0.00194740304650563}",25,8,33.11664732504952,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
623,False,"{'a': 0.5, 'e': 0.0019279290160405737}",20,10,17.662798012142737,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
624,False,"{'a': 0.5, 'e': 0.001908649725880168}",20,8,20.92936495592808,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
625,False,"{'a': 0.5, 'e': 0.0018895632286213661}",35,22,19.763166188287393,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
626,False,"{'a': 0.5, 'e': 0.0018706675963351526}",25,10,26.497349693785935,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
627,False,"{'a': 0.5, 'e': 0.001851960920371801}",20,0,31.033666926367438,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
628,False,"{'a': 0.5, 'e': 0.001833441311168083}",20,16,8.818269165618318,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
629,False,"{'a': 0.5, 'e': 0.0018151068980564022}",35,12,46.56308181641519,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
630,False,"{'a': 0.5, 'e': 0.001796955829075838}",25,17,14.572426111054355,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
631,False,"{'a': 0.5, 'e': 0.0017789862707850797}",20,10,17.033285865974392,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
632,False,"{'a': 0.5, 'e': 0.001761196408077229}",20,6,24.519979661636498,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
633,False,"{'a': 0.5, 'e': 0.0017435844439964566}",20,0,27.6474231355324,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
634,False,"{'a': 0.5, 'e': 0.001726148599556492}",20,9,18.829545635878347,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
635,False,"{'a': 0.5, 'e': 0.001708887113560927}",25,9,26.32459530332071,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
636,False,"{'a': 0.5, 'e': 0.0016917982424253177}",25,18,13.995826975364935,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
637,False,"{'a': 0.5, 'e': 0.0016748802600010646}",20,13,17.471953776031828,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
638,False,"{'a': 0.5, 'e': 0.0016581314574010539}",30,18,23.50871192159952,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
639,False,"{'a': 0.5, 'e': 0.0016415501428270432}",20,6,27.727494003182507,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
640,False,"{'a': 0.5, 'e': 0.001625134641398773}",25,15,17.204200895179106,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
641,False,"{'a': 0.5, 'e': 0.001608883294984785}",20,12,14.656312503463887,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
642,False,"{'a': 0.5, 'e': 0.0015927944620349372}",25,17,15.206212629252931,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
643,False,"{'a': 0.5, 'e': 0.0015768665174145879}",20,14,11.71393919065029,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
644,False,"{'a': 0.5, 'e': 0.001561097852240442}",25,13,27.059683303788127,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
645,False,"{'a': 0.5, 'e': 0.0015454868737180376}",25,19,10.954386662949702,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
646,False,"{'a': 0.5, 'e': 0.0015300320049808573}",35,19,30.77104461318055,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
647,False,"{'a': 0.5, 'e': 0.0015147316849310486}",30,17,22.759969928020706,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
648,False,"{'a': 0.5, 'e': 0.001499584368081738}",30,10,30.84386308403565,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
649,False,"{'a': 0.5, 'e': 0.0014845885244009207}",25,11,23.664323177619785,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
650,False,"{'a': 0.5, 'e': 0.0014697426391569114}",25,7,33.90985380315822,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
651,False,"{'a': 0.5, 'e': 0.0014550452127653423}",20,7,25.519799043844174,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
652,False,"{'a': 0.5, 'e': 0.001440494760637689}",30,23,12.092945462327503,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
653,False,"{'a': 0.5, 'e': 0.001426089813031312}",20,6,25.63411006459365,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
654,False,"{'a': 0.5, 'e': 0.0014118289149009989}",25,15,20.58600018286082,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
655,False,"{'a': 0.5, 'e': 0.0013977106257519888}",20,8,20.915481478681343,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
656,False,"{'a': 0.5, 'e': 0.001383733519494469}",25,14,17.473826407325888,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
657,False,"{'a': 0.5, 'e': 0.0013698961842995242}",25,14,22.452442417542635,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
658,False,"{'a': 0.5, 'e': 0.001356197222456529}",20,13,11.938435582187743,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
659,False,"{'a': 0.5, 'e': 0.0013426352502319636}",20,14,12.0801935724453,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
660,False,"{'a': 0.5, 'e': 0.001329208897729644}",20,11,18.02313823151486,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
661,False,"{'a': 0.5, 'e': 0.0013159168087523475}",20,5,30.597877889546055,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
662,False,"{'a': 0.5, 'e': 0.0013027576406648242}",20,5,29.603315279055444,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
663,False,"{'a': 0.5, 'e': 0.0012897300642581758}",20,14,11.265554633803657,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
664,False,"{'a': 0.5, 'e': 0.001276832763615594}",20,6,25.24939418439333,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
